Transect No,Species,Stage,Sex (if adult)
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0441,Ixodes scapularis,Larva,
25-0417,Ixodes scapularis,Larva,
25-0417,Amblyomma americanum,Adult,
25-0430,Ixodes scapularis,Larva,
25-0430,Ixodes scapularis,Larva,
25-0430,Ixodes scapularis,Larva,
25-0430,Ixodes scapularis,Larva,
25-0430,Ixodes scapularis,Larva,
25-0430,Ixodes scapularis,Larva,
25-0430,Ixodes scapularis,Larva,
25-0430,Ixodes scapularis,Larva,
25-0430,Ixodes scapularis,Larva,
25-0430,Ixodes scapularis,Larva,
25-0430,Ixodes scapularis,Larva,
25-0430,Ixodes scapularis,Larva,
25-0430,Ixodes scapularis,Nymph,
25-2982,Amblyomma americanum,Nymph,
25-2982,Amblyomma americanum,Nymph,
25-2982,Amblyomma americanum,Nymph,
25-2982,Amblyomma americanum,Nymph,
25-2982,Amblyomma americanum,Nymph,
25-2982,Amblyomma americanum,Nymph,
25-2982,Amblyomma americanum,Nymph,
25-2982,Amblyomma americanum,Nymph,
25-2982,Amblyomma americanum,Nymph,
25-2982,Amblyomma americanum,Nymph,
25-2982,Amblyomma americanum,Nymph,
25-2982,Amblyomma americanum,Nymph,
25-2982,Amblyomma americanum,Nymph,
25-2982,Amblyomma americanum,Nymph,
25-2982,Amblyomma americanum,Nymph,
25-2982,Amblyomma americanum,Nymph,
25-2982,Amblyomma americanum,Adult,Female
25-2982,Haemaphysalis longicornis,Adult,Female
25-2982,Haemaphysalis longicornis,Adult,Female
25-2982,Haemaphysalis longicornis,Adult,
25-2982,Haemaphysalis longicornis,Nymph,
25-2982,Ixodes scapularis,Larva,
25-2982,Ixodes scapularis,Larva,
25-2982,Ixodes scapularis,Larva,
25-2982,Ixodes scapularis,Larva,
25-2982,Ixodes scapularis,Larva,
25-2982,Ixodes scapularis,Larva,
25-2982,Ixodes scapularis,Nymph,
25-0445,Ixodes scapularis,Larva,
25-0445,Ixodes scapularis,Larva,
25-0445,Ixodes scapularis,Larva,
25-0445,Ixodes scapularis,Larva,
25-0445,Ixodes scapularis,Larva,
25-2987,Amblyomma americanum,Adult,Female
25-2987,Amblyomma americanum,Nymph,
25-2987,Amblyomma americanum,Nymph,
25-0438,Dermacentor variabilis,Adult,Female
25-0438,Haemaphysalis longicornis,Nymph,
25-2986,Amblyomma americanum,Nymph,
25-2986,Ixodes scapularis,Nymph,
25-AD016,Amblyomma americanum,Nymph,
25-AD016,Amblyomma americanum,Nymph,
25-AD016,Amblyomma americanum,Nymph,
25-AD016,Amblyomma americanum,Nymph,
25-AD016,Amblyomma americanum,Nymph,
25-AD016,Amblyomma americanum,Nymph,
25-AD016,Amblyomma americanum,Nymph,
25-AD016,Amblyomma americanum,Nymph,
25-AD016,Amblyomma americanum,Nymph,
25-AD016,Amblyomma americanum,Nymph,
25-AD016,Amblyomma americanum,Nymph,
25-AD016,Amblyomma americanum,Nymph,
25-AD016,Amblyomma americanum,Nymph,
25-AD016,Amblyomma americanum,Nymph,
25-AD016,Amblyomma americanum,Nymph,
25-AD016,Amblyomma americanum,Nymph,
25-AD016,Amblyomma americanum,Nymph,
25-AD016,Amblyomma americanum,Adult,Female
25-AD016,Haemaphysalis longicornis,Nymph,
25-AD016,Haemaphysalis longicornis,Nymph,
25-AD016,Haemaphysalis longicornis,Nymph,
25-2942,Amblyomma americanum,Nymph,
25-2942,Amblyomma americanum,Nymph,
25-AD015,Amblyomma americanum,Nymph,
25-AD015,Amblyomma americanum,Nymph,
25-AD015,Amblyomma americanum,Nymph,
25-AD015,Amblyomma americanum,Nymph,
25-AD015,Amblyomma americanum,Nymph,
25-AD015,Amblyomma americanum,Nymph,
25-AD015,Amblyomma americanum,Nymph,
25-AD015,Amblyomma americanum,Nymph,
25-AD015,Amblyomma americanum,Nymph,
25-AD015,Amblyomma americanum,Adult,Female
25-AD015,Amblyomma americanum,Nymph,
25-AD015,Amblyomma americanum,Nymph,
25-AD015,Haemaphysalis longicornis,Adult,Female
25-AD015,Haemaphysalis longicornis,Nymph,
25-AD015,Haemaphysalis longicornis,Nymph,
25-AD015,Haemaphysalis longicornis,Nymph,
25-0416,Amblyomma americanum,Nymph,
25-0416,Amblyomma americanum,Nymph,
25-0416,Amblyomma americanum,Nymph,
25-0416,Amblyomma americanum,Nymph,
25-AD006,Ixodes scapularis,Nymph,
25-AD009,Ixodes scapularis,Nymph,
25-2994,Dermacentor variabilis,Adult,Female
25-2994,Dermacentor variabilis,Adult,Male
25-0440,Ixodes scapularis,Nymph,
25-0440,Ixodes scapularis,Nymph,
25-AD005,Ixodes scapularis,Nymph,
25-2985,Amblyomma americanum,Nymph,
25-2940,Haemaphysalis longicornis,Adult,Female
25-2940,Amblyomma americanum,Nymph,
25-2940,Ixodes scapularis,Nymph,
25-0420,Amblyomma americanum,Nymph,
25-AD004,Ixodes scapularis,Nymph,
25-2997,Ixodes scapularis,Nymph,
25-2997,Ixodes scapularis,Nymph,
25-2997,Ixodes scapularis,Nymph,
25-2983,Amblyomma americanum,Nymph,
25-2983,Amblyomma americanum,Nymph,
25-2983,Amblyomma americanum,Nymph,
25-2983,Amblyomma americanum,Nymph,
25-2983,Amblyomma americanum,Adult,
25-2983,Haemaphysalis longicornis,Nymph,
25-2983,Haemaphysalis longicornis,Adult,
25-2983,Haemaphysalis longicornis,Adult,
25-2983,Dermacentor variabilis,Adult,Female
25-2983,Ixodes scapularis,Nymph,
25-2996,Dermacentor variabilis,Adult,Male
25-2996,Dermacentor variabilis,Adult,Male
25-2934,Haemaphysalis longicornis,Nymph,
25-2931,Ixodes scapularis,Larva,
25-2931,Ixodes scapularis,Larva,
25-2931,Ixodes scapularis,Larva,
25-2931,Ixodes scapularis,Larva,
25-2931,Ixodes scapularis,Larva,
25-2931,Haemaphysalis longicornis,Adult,Female
25-2931,Haemaphysalis longicornis,Nymph,
25-2931,Amblyomma americanum,Nymph,
25-2931,Amblyomma americanum,Nymph,
25-2931,Amblyomma americanum,Nymph,
25-2931,Amblyomma americanum,Nymph,
25-2931,Amblyomma americanum,Nymph,
25-2931,Amblyomma americanum,Nymph,
25-2931,Amblyomma americanum,Nymph,
25-2931,Amblyomma americanum,Nymph,
25-2931,Amblyomma americanum,Nymph,
25-2931,Amblyomma americanum,Nymph,
25-2931,Amblyomma americanum,Nymph,
25-2931,Amblyomma americanum,Nymph,
25-2931,Amblyomma americanum,Nymph,
25-2931,Amblyomma americanum,Nymph,
25-2931,Amblyomma americanum,Nymph,
25-2931,Amblyomma americanum,Nymph,
25-2931,Amblyomma americanum,Nymph,
25-2931,Amblyomma americanum,Nymph,
25-2931,Amblyomma americanum,Nymph,
25-2931,Amblyomma americanum,Nymph,
25-2931,Ixodes scapularis,Nymph,
25-2993,Ixodes scapularis,Larva,
25-2993,Ixodes scapularis,Larva,
25-2993,Ixodes scapularis,Larva,
25-2993,Ixodes scapularis,Larva,
25-2993,Ixodes scapularis,Larva,
25-2993,Dermacentor variabilis,Adult,Male
25-2993,Dermacentor variabilis,Adult,Male
25-2993,Dermacentor variabilis,Adult,Male
25-2993,Dermacentor variabilis,Adult,Female
25-2993,Dermacentor variabilis,Adult,Female
25-0413,Amblyomma americanum,Nymph,
25-0413,Amblyomma americanum,Nymph,
25-0413,Amblyomma americanum,Nymph,
25-2984,Amblyomma americanum,Nymph,
25-2984,Amblyomma americanum,Nymph,
25-2984,Haemaphysalis longicornis,Adult,Female
25-2984,Haemaphysalis longicornis,Nymph,
25-0323,Ixodes scapularis,Nymph,
25-2998,Ixodes scapularis,Nymph,
25-2998,Ixodes scapularis,Nymph,
25-2998,Ixodes scapularis,Nymph,
25-2998,Ixodes scapularis,Nymph,
25-2998,Ixodes scapularis,Nymph,
25-2998,Ixodes scapularis,Nymph,
25-2992,Haemaphysalis longicornis,Nymph,
25-2930,Ixodes scapularis,Larva,
25-2930,Dermacentor variabilis,Adult,Male
25-2930,Haemaphysalis longicornis,Nymph,
25-2930,Haemaphysalis longicornis,Nymph,
25-2930,Amblyomma americanum,Nymph,
25-2930,Amblyomma americanum,Nymph,
25-2930,Amblyomma americanum,Nymph,
25-2930,Amblyomma americanum,Nymph,
25-2930,Amblyomma americanum,Nymph,
25-2930,Amblyomma americanum,Nymph,
25-2981,Amblyomma americanum,Nymph,
25-2981,Amblyomma americanum,Nymph,
25-2981,Amblyomma americanum,Nymph,
25-2981,Amblyomma americanum,Nymph,
25-2981,Amblyomma americanum,Nymph,
25-2981,Haemaphysalis longicornis,Nymph,
25-2981,Haemaphysalis longicornis,Nymph,
25-2981,Haemaphysalis longicornis,Nymph,
25-2856,Ixodes scapularis,Nymph,
25-0410,Amblyomma americanum,Adult,Female
25-0410,Amblyomma americanum,Adult,Male
25-0410,Amblyomma americanum,Nymph,
25-0410,Amblyomma americanum,Nymph,
25-0410,Amblyomma americanum,Nymph,
25-0410,Amblyomma americanum,Nymph,
25-0410,Amblyomma americanum,Nymph,
25-0410,Amblyomma americanum,Nymph,
25-0410,Amblyomma americanum,Nymph,
25-0410,Amblyomma americanum,Nymph,
25-0410,Amblyomma americanum,Nymph,
25-0410,Amblyomma americanum,Nymph,
25-0410,Amblyomma americanum,Nymph,
25-0410,Amblyomma americanum,Nymph,
25-0410,Amblyomma americanum,Nymph,
25-0410,Amblyomma americanum,Nymph,
25-0410,Amblyomma americanum,Nymph,
25-0410,Amblyomma americanum,Nymph,
25-0410,Haemaphysalis longicornis,Nymph,
25-0410,Haemaphysalis longicornis,Nymph,
25-0410,Haemaphysalis longicornis,Nymph,
25-0410,Haemaphysalis longicornis,Nymph,
25-0410,Ixodes scapularis,Larva,
25-0410,Ixodes scapularis,Larva,
25-0410,Ixodes scapularis,Larva,
25-0410,Ixodes scapularis,Larva,
25-0410,Ixodes scapularis,Larva,
25-0410,Haemaphysalis longicornis,Nymph,
25-0410,Haemaphysalis longicornis,Nymph,
25-0410,Haemaphysalis longicornis,Nymph,
25-0410,Haemaphysalis longicornis,Nymph,
25-0410,Haemaphysalis longicornis,Nymph,
25-0410,Haemaphysalis longicornis,Larva,
25-0410,Haemaphysalis longicornis,Larva,
25-0410,Haemaphysalis longicornis,Larva,
25-0410,Haemaphysalis longicornis,Larva,
25-0410,Haemaphysalis longicornis,Larva,
25-0410,Haemaphysalis longicornis,Larva,
25-0410,Haemaphysalis longicornis,Larva,
25-0410,Haemaphysalis longicornis,Larva,
25-0410,Haemaphysalis longicornis,Larva,
25-0410,Haemaphysalis longicornis,Larva,
25-0410,Haemaphysalis longicornis,Larva,
25-0410,Haemaphysalis longicornis,Larva,
25-0410,Haemaphysalis longicornis,Larva,
25-0410,Ixodes scapularis,Nymph,
25-0410,Ixodes scapularis,Nymph,
25-0411,Ixodes scapularis,Nymph,
25-0411,Ixodes scapularis,Nymph,
25-0411,Ixodes scapularis,Nymph,
25-0411,Ixodes scapularis,Nymph,
25-0411,Ixodes scapularis,Nymph,
25-0411,Ixodes scapularis,Nymph,
25-0411,Amblyomma americanum,Adult,Female
25-0411,Amblyomma americanum,Adult,Female
25-0411,Amblyomma americanum,Adult,Female
25-0411,Haemaphysalis longicornis,Nymph,
25-0411,Haemaphysalis longicornis,Nymph,
25-0411,Haemaphysalis longicornis,Nymph,
25-0411,Haemaphysalis longicornis,Nymph,
25-0411,Haemaphysalis longicornis,Nymph,
25-0411,Haemaphysalis longicornis,Nymph,
25-0411,Haemaphysalis longicornis,Nymph,
25-0411,Haemaphysalis longicornis,Nymph,
25-0411,Haemaphysalis longicornis,Nymph,
25-0411,Haemaphysalis longicornis,Nymph,
25-0411,Haemaphysalis longicornis,Nymph,
25-0411,Amblyomma americanum,Nymph,
25-0411,Amblyomma americanum,Nymph,
25-0411,Amblyomma americanum,Nymph,
25-0411,Amblyomma americanum,Nymph,
25-0411,Amblyomma americanum,Nymph,
25-0411,Amblyomma americanum,Nymph,
25-0411,Amblyomma americanum,Nymph,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0411,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Nymph,
25-0443,Ixodes scapularis,Nymph,
25-0443,Ixodes scapularis,Nymph,
25-0443,Ixodes scapularis,Nymph,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-0443,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2876,Ixodes scapularis,Larva,
25-2877,Ixodes scapularis,Larva,
25-2877,Ixodes scapularis,Larva,
25-0120,Ixodes scapularis,Nymph,
25-0120,Ixodes scapularis,Nymph,
25-0120,Ixodes scapularis,Nymph,
25-0120,Ixodes scapularis,Nymph,
25-0120,Ixodes scapularis,Nymph,
25-0132,Dermacentor variabilis,Adult,
25-0731,Dermacentor variabilis,Adult,Male
25-2353,Dermacentor variabilis,Adult,Male
25-2353,Dermacentor variabilis,Adult,Female
25-2353,Dermacentor variabilis,Adult,Female
25-2353,Dermacentor variabilis,Adult,Female
25-2353,Dermacentor variabilis,Adult,Female
25-2353,Dermacentor variabilis,Adult,Female
25-2351,Dermacentor variabilis,Adult,Female
25-2351,Dermacentor variabilis,Adult,Female
25-1170,Haemaphysalis longicornis,Nymph,
25-0119,Ixodes scapularis,Nymph,
25-0119,Ixodes scapularis,Nymph,
25-0119,Ixodes scapularis,Nymph,
25-0119,Ixodes scapularis,Nymph,
25-0119,Ixodes scapularis,Nymph,
25-0119,Ixodes scapularis,Nymph,
25-0119,Ixodes scapularis,Nymph,
25-0119,Ixodes scapularis,Nymph,
25-0119,Ixodes scapularis,Nymph,
25-0119,Ixodes scapularis,Nymph,
25-0119,Ixodes scapularis,Nymph,
25-0119,Ixodes scapularis,Nymph,
25-0127,Dermacentor variabilis,Adult,Female
25-3016,Dermacentor variabilis,Adult,
25-0185,Dermacentor variabilis,Adult,Male
25-0185,Dermacentor variabilis,Adult,Male
25-0185,Dermacentor variabilis,Adult,Female
25-0185,Amblyomma americanum,Nymph,
25-0185,Amblyomma americanum,Nymph,
25-0184,Ixodes scapularis,Nymph,
25-0184,Ixodes scapularis,Nymph,
25-0184,Ixodes scapularis,Nymph,
25-0184,Ixodes scapularis,Nymph,
25-0184,Ixodes scapularis,Nymph,
25-0184,Ixodes scapularis,Nymph,
25-0184,Ixodes scapularis,Nymph,
25-0184,Ixodes scapularis,Nymph,
25-0184,Ixodes scapularis,Nymph,
25-0184,Ixodes scapularis,Nymph,
25-0184,Ixodes scapularis,Nymph,
25-0184,Ixodes scapularis,Nymph,
25-0184,Ixodes scapularis,Nymph,
25-0184,Ixodes scapularis,Nymph,
25-0184,Ixodes scapularis,Nymph,
25-0184,Ixodes scapularis,Nymph,
25-0184,Ixodes scapularis,Nymph,
25-0184,Ixodes scapularis,Nymph,
25-0184,Ixodes scapularis,Nymph,
25-0184,Ixodes scapularis,Nymph,
25-0184,Amblyomma americanum,Nymph,
25-0184,Amblyomma americanum,Nymph,
25-0184,Amblyomma americanum,Nymph,
25-0184,Amblyomma americanum,Nymph,
25-0184,Amblyomma americanum,Nymph,
25-0184,Amblyomma americanum,Nymph,
25-0184,Amblyomma americanum,Nymph,
25-0184,Amblyomma americanum,Nymph,
25-0184,Amblyomma americanum,Nymph,
25-0184,Amblyomma americanum,Nymph,
25-0184,Amblyomma americanum,Nymph,
25-0184,Amblyomma americanum,Nymph,
25-0184,Amblyomma americanum,Nymph,
25-0184,Amblyomma americanum,Nymph,
25-0184,Amblyomma americanum,Nymph,
25-0184,Amblyomma americanum,Nymph,
25-0184,Amblyomma americanum,Nymph,
25-0184,Amblyomma americanum,Nymph,
25-0184,Haemaphysalis longicornis,Nymph,
25-0184,Haemaphysalis longicornis,Nymph,
25-0184,Haemaphysalis longicornis,Nymph,
25-0184,Haemaphysalis longicornis,Nymph,
